Model,Scenario,Region,indicator,unit,year,emissions
GCAM,Low policy,Brazil,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,1364.813795
GCAM,Low policy,Canada,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,731.6310378
GCAM,Low policy,Central America and Caribbean,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,205.3403295
GCAM,Low policy,Central Asia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,502.8223678
GCAM,Low policy,China,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,8519.147919
GCAM,Low policy,Colombia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,27.40091474
GCAM,Low policy,EU-12,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,584.3922531
GCAM,Low policy,EU-15,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,3168.340613
GCAM,Low policy,European Free Trade Association,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,73.18809702
GCAM,Low policy,Europe_Eastern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,318.9844511
GCAM,Low policy,Europe_Non_EU,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,337.6665316
GCAM,Low policy,India,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,1884.219524
GCAM,Low policy,Indonesia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,1336.89632
GCAM,Low policy,Japan,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,1170.380675
GCAM,Low policy,Mexico,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,505.8342181
GCAM,Low policy,Middle East,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,1939.532088
GCAM,Low policy,Pakistan,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,157.4153639
